Date,Open,High,Low,Close,Adj Close,Volume
2023-05-03,22.600000,22.990000,22.420000,22.660000,20.486406,51133700
2023-05-04,22.889999,23.379999,22.610001,23.020000,20.811876,57854400
2023-05-05,23.299999,24.170000,23.180000,24.000000,21.697870,83365200
2023-05-08,24.450001,24.629999,24.209999,24.510000,22.158951,59352300
2023-05-09,24.410000,24.799999,24.240000,24.590000,22.231277,33978200
2023-05-10,24.590000,24.820000,24.330000,24.530001,22.177032,41500700
2023-05-11,24.129999,25.480000,23.930000,25.430000,22.990704,136878100
2023-05-12,25.580000,26.740000,25.480000,26.250000,23.732048,117237500
2023-05-15,26.059999,26.150000,25.400000,25.660000,23.198641,81996700
2023-05-16,26.110001,27.030001,26.080000,26.299999,23.777250,117782700
2023-05-17,26.600000,26.760000,25.510000,25.660000,23.198641,107129200
2023-05-18,25.590000,25.850000,25.350000,25.809999,23.334253,63010500
2023-05-19,26.080000,26.180000,25.639999,25.770000,23.298092,69245500
2023-05-22,25.879999,26.010000,25.500000,25.620001,23.162477,38010200
2023-05-23,25.650000,26.430000,25.520000,26.250000,23.732048,58285300
2023-05-24,26.250000,26.900000,26.049999,26.650000,24.093679,54796400
2023-05-25,26.799999,26.840000,26.190001,26.450001,23.912865,49182700
2023-05-26,26.809999,26.910000,26.530001,26.799999,24.229290,39866600
2023-05-29,26.750000,26.820000,26.559999,26.690001,24.129841,17977100
2023-05-30,26.719999,26.799999,26.260000,26.389999,23.858618,45736700
2023-05-31,26.270000,26.360001,25.870001,26.120001,23.614519,49207600
2023-06-01,26.299999,27.000000,26.160000,26.959999,24.373943,63148200
2023-06-02,27.430000,27.600000,27.110001,27.180000,24.572840,39919300
2023-06-05,27.540001,27.559999,27.230000,27.469999,24.835022,39321700
2023-06-06,27.450001,28.250000,27.209999,28.049999,25.359388,75426600
2023-06-07,28.650000,29.059999,28.430000,28.870001,26.100733,82330400
2023-06-09,29.100000,30.389999,29.020000,30.280001,27.375483,80442400
2023-06-12,30.219999,30.990000,30.040001,30.809999,27.854643,119350400
2023-06-13,29.240000,29.240000,28.590000,28.860001,27.800291,79174900
2023-06-14,28.940001,30.100000,28.879999,30.100000,28.994759,98326000
2023-06-15,30.200001,30.850000,29.280001,29.389999,28.310829,120579500
2023-06-16,29.230000,29.920000,29.040001,29.639999,28.551649,94572000
2023-06-19,29.629999,30.459999,29.549999,30.420000,29.303009,34573900
2023-06-20,30.299999,30.750000,29.900000,30.570000,29.447500,55605300
2023-06-21,30.930000,32.000000,30.850000,31.850000,30.680502,89294300
2023-06-22,31.459999,31.690001,31.080000,31.450001,30.295189,43455800
2023-06-23,31.200001,31.280001,29.889999,30.160000,29.052555,76023400
2023-06-26,30.120001,31.049999,30.120001,30.840000,29.707588,53635000
2023-06-27,30.930000,31.200001,30.340000,30.600000,29.476400,48399600
2023-06-28,30.580000,31.180000,30.549999,30.889999,29.755751,36794600
2023-06-29,31.000000,31.120001,30.760000,31.030001,29.890612,32071800
2023-06-30,31.000000,31.080000,29.320000,29.530001,28.445690,104262900
2023-07-03,29.719999,30.180000,29.719999,30.080000,28.975494,31266900
2023-07-04,29.959999,30.389999,29.959999,30.150000,29.042923,18308000
2023-07-05,30.160000,30.549999,29.660000,30.110001,29.004393,53585500
2023-07-06,29.850000,30.000000,29.150000,29.650000,28.561283,47685700
2023-07-07,29.760000,30.200001,29.360001,29.500000,28.416790,55533500
2023-07-10,29.110001,29.670000,29.010000,29.549999,28.464954,25590200
2023-07-11,29.530001,29.530001,29.000000,29.150000,28.079641,40877000
2023-07-12,29.200001,29.770000,29.139999,29.170000,28.098907,40181800
2023-07-13,29.070000,29.719999,29.040001,29.629999,28.542017,35886500
2023-07-14,29.500000,29.580000,28.860001,29.049999,27.983313,34451100
2023-07-17,28.410000,29.090000,27.950001,28.990000,27.925516,52160800
2023-07-18,29.000000,29.200001,28.709999,28.830000,27.771393,35640400
2023-07-19,28.809999,29.129999,28.570000,29.100000,28.031479,46517700
2023-07-20,29.070000,29.350000,28.879999,29.129999,28.060375,33177100
2023-07-21,29.150000,29.860001,29.129999,29.680000,28.590181,52059200
2023-07-24,29.799999,30.410000,29.760000,30.299999,29.187414,45268100
2023-07-25,30.500000,31.049999,30.200001,31.000000,29.861712,56261000
2023-07-26,30.950001,31.219999,30.629999,31.000000,29.861712,45880200
2023-07-27,30.850000,30.889999,29.379999,29.389999,28.310829,86471900
2023-07-28,29.430000,29.950001,29.320000,29.760000,28.667244,43608600
2023-07-31,30.299999,31.150000,30.299999,31.110001,29.967674,91290800
2023-08-01,31.090000,31.090000,29.950001,30.600000,29.476400,75752400
2023-08-02,30.510000,30.580000,29.799999,30.530001,29.408970,62068400
2023-08-03,30.930000,31.129999,30.620001,30.920000,29.784649,57304400
2023-08-04,30.700001,31.139999,29.740000,30.000000,28.898432,120685800
